"lon","lat","species.name"
-145.970556,65.397778,"Cassiope tetragona"
-150.148611,63.473611,"Cassiope tetragona"
-164.754638,65.261815,"Cassiope tetragona"
-151.722997,68.136493,"Cassiope tetragona"
-145.989089,65.397994,"Cassiope tetragona"
-165.227165,64.477491,"Cassiope tetragona"
-146.429733,63.086369,"Cassiope tetragona"
-161.135322,67.508025,"Cassiope tetragona"
-170.56505,63.6352399992502,"Cassiope tetragona"
-171.72501,63.6916799992513,"Cassiope tetragona"
-120.782111,48.504767,"Cassiope tetragona"
-120.20861,48.9363,"Cassiope tetragona"
-120.25975,48.95349,"Cassiope tetragona"
-120.20785,48.938,"Cassiope tetragona"
-141.05,66.8,"Cassiope tetragona"
-166.306667,64.718056,"Cassiope tetragona"
-145.638667,63.179241,"Cassiope tetragona"
-152.659883,60.7119329991958,"Cassiope tetragona"
-119.931111,48.991667,"Cassiope tetragona"
-149.409333,68.656667,"Cassiope tetragona"
-120.652,48.4025,"Cassiope tetragona"
-141.308040199826,62.4191272273821,"Cassiope tetragona"
-142.188873221023,62.1094397813611,"Cassiope tetragona"
-142.038226095252,62.4237829452895,"Cassiope tetragona"
-163.97,66.59,"Cassiope tetragona"
-159.49,67.75,"Cassiope tetragona"
-141.055437161124,65.3387024404372,"Cassiope tetragona"
-159.43,67.74,"Cassiope tetragona"
-148.86,61.34,"Cassiope tetragona"
-152.83,61.35,"Cassiope tetragona"
-161.48,68.46,"Cassiope tetragona"
-143.7,64.53,"Cassiope tetragona"
-152.53,68.56,"Cassiope tetragona"
-152.74,68.19,"Cassiope tetragona"
-152.744,68.195,"Cassiope tetragona"
-152.534,68.564,"Cassiope tetragona"
-142.93,64.86,"Cassiope tetragona"
-154.68,66.72,"Cassiope tetragona"
-163.67,67.27,"Cassiope tetragona"
-153.11,61.17,"Cassiope tetragona"
-149.64,68.61,"Cassiope tetragona"
-152.76,62.52,"Cassiope tetragona"
-158.43,68.32,"Cassiope tetragona"
-164.68,66.53,"Cassiope tetragona"
-159.74,61.18,"Cassiope tetragona"
-149.35,68.44,"Cassiope tetragona"
-159.68,66.96,"Cassiope tetragona"
-136.11,59.28,"Cassiope tetragona"
-155.31,61.16,"Cassiope tetragona"
-155.8,68.41,"Cassiope tetragona"
-159.93,63.86,"Cassiope tetragona"
-153.91,60.65,"Cassiope tetragona"
-119.96972,48.92861,"Cassiope tetragona"
-146.2,64.67,"Cassiope tetragona"
-146.18,64.67,"Cassiope tetragona"
-156.78,71.29,"Cassiope tetragona"
-147.25,65.88,"Cassiope tetragona"
-149.56,61.24,"Cassiope tetragona"
-146.76,65.63,"Cassiope tetragona"
-150.7,63.533333,"Cassiope tetragona"
-135.18,59.52,"Cassiope tetragona"
-148.360992,64.958,"Cassiope tetragona"
-164.7,65.46,"Cassiope tetragona"
-149.68,62.91,"Cassiope tetragona"
-163.75,64.53,"Cassiope tetragona"
-157,62.93,"Cassiope tetragona"
-149.66,68.63,"Cassiope tetragona"
-164.43,65.86,"Cassiope tetragona"
-144,69,"Cassiope tetragona"
-149.45,68.18,"Cassiope tetragona"
-149.31,68.61,"Cassiope tetragona"
-149.32,68.62,"Cassiope tetragona"
-156.83,62.78,"Cassiope tetragona"
-145.63,63.21,"Cassiope tetragona"
-147.43,65.03,"Cassiope tetragona"
-145.96,65.4,"Cassiope tetragona"
-144.436241251483,69.9997858940713,"Cassiope tetragona"
-149.06,61.4,"Cassiope tetragona"
-145.58,63.36,"Cassiope tetragona"
-145.036200232771,69.5830951172883,"Cassiope tetragona"
-153.53,62.18,"Cassiope tetragona"
-143.586167064789,69.666456413402,"Cassiope tetragona"
-149.13,61.43,"Cassiope tetragona"
-163.83,64.75,"Cassiope tetragona"
-148.68,63.96,"Cassiope tetragona"
-141.28,64.58,"Cassiope tetragona"
-149.5,68.41,"Cassiope tetragona"
-145.41,65.48,"Cassiope tetragona"
-149.752735959455,67.5996197013412,"Cassiope tetragona"
-145.236263571381,69.9831046715804,"Cassiope tetragona"
-161.83,70.33,"Cassiope tetragona"
-161.836693856539,70.3328120592471,"Cassiope tetragona"
-150.75,62.5,"Cassiope tetragona"
-149.36,68.4,"Cassiope tetragona"
-149.6,68.11,"Cassiope tetragona"
-148.75,63.56,"Cassiope tetragona"
-149.18,62.51,"Cassiope tetragona"
-149.18,62.43,"Cassiope tetragona"
-151.48,65.76,"Cassiope tetragona"
-165.23,64.85,"Cassiope tetragona"
-150.95,63.52,"Cassiope tetragona"
-163.08,65.88,"Cassiope tetragona"
-145.4,65.48,"Cassiope tetragona"
-143.502705257604,68.7164275473488,"Cassiope tetragona"
-144.333333,69.883333,"Cassiope tetragona"
-147.23,63.05,"Cassiope tetragona"
-143.88,63.38,"Cassiope tetragona"
-164.41,66.56,"Cassiope tetragona"
-164.41,66.58,"Cassiope tetragona"
-161.25,68.86,"Cassiope tetragona"
-151.969834089606,70.3163303658142,"Cassiope tetragona"
-159.75315957655,69.2661531313059,"Cassiope tetragona"
-157.4,70.46,"Cassiope tetragona"
-145.5,63.21,"Cassiope tetragona"
-141.5,69.41,"Cassiope tetragona"
-142.85,61.5,"Cassiope tetragona"
-148.369747478231,70.3663966072959,"Cassiope tetragona"
-150.93,63.55,"Cassiope tetragona"
-145.43,65.48,"Cassiope tetragona"
-143.502720125062,68.8330972005756,"Cassiope tetragona"
-157.403309793971,70.4662345576156,"Cassiope tetragona"
-166.28,65.15,"Cassiope tetragona"
-143.75269809267,68.5997527289608,"Cassiope tetragona"
-150.41,67.36,"Cassiope tetragona"
-157.5,70.41,"Cassiope tetragona"
-141.219296484049,68.6831302307459,"Cassiope tetragona"
-165.33,64.55,"Cassiope tetragona"
-148.33,70.33,"Cassiope tetragona"
-142.3,69.88,"Cassiope tetragona"
-141.63,63.71,"Cassiope tetragona"
-153.71,67.41,"Cassiope tetragona"
-145.036158813551,69.2830855155565,"Cassiope tetragona"
-146.00279376611,68.8330548291759,"Cassiope tetragona"
-164.08,66.33,"Cassiope tetragona"
-158.33,68.25,"Cassiope tetragona"
-155.08,67.88,"Cassiope tetragona"
-154.15,68.18,"Cassiope tetragona"
-156.23,68.12,"Cassiope tetragona"
-154.05,68.48,"Cassiope tetragona"
-158.86,67.03,"Cassiope tetragona"
-147.45,63.93,"Cassiope tetragona"
-160,68.8,"Cassiope tetragona"
-148.869769269053,70.4163893811367,"Cassiope tetragona"
-156.68,71.28,"Cassiope tetragona"
-167.15,65.45,"Cassiope tetragona"
-156.83,71.26,"Cassiope tetragona"
-166.18,64.81,"Cassiope tetragona"
-156.786776915037,71.2996062233587,"Cassiope tetragona"
-165.33,64.63,"Cassiope tetragona"
-149.42,68.47,"Cassiope tetragona"
-142.5,69.96,"Cassiope tetragona"
-149.41,68.46,"Cassiope tetragona"
-144.43,61.51,"Cassiope tetragona"
-153.91,62.5,"Cassiope tetragona"
-144.152448935153,66.2996783945202,"Cassiope tetragona"
-141.75,61.7,"Cassiope tetragona"
-150.8935,63.5185,"Cassiope tetragona"
-142.41,61.66,"Cassiope tetragona"
-145.58,63.33,"Cassiope tetragona"
-165.61,64.58,"Cassiope tetragona"
-152.63,67.98,"Cassiope tetragona"
-145.43,65.45,"Cassiope tetragona"
-149.25,63.71,"Cassiope tetragona"
-145.502695077814,68.1663769150553,"Cassiope tetragona"
-145.41,65.45,"Cassiope tetragona"
-145.9,63.75,"Cassiope tetragona"
-149.3,61.76,"Cassiope tetragona"
-149.1,61.6,"Cassiope tetragona"
-153.16,67.95,"Cassiope tetragona"
-141.33,64.13,"Cassiope tetragona"
-150.25,63.5,"Cassiope tetragona"
-159.17,68,"Cassiope tetragona"
-142.21,63.68,"Cassiope tetragona"
-162.67,67.5,"Cassiope tetragona"
-160.8,67.9,"Cassiope tetragona"
-162.666667,67.5,"Cassiope tetragona"
-150.5,68.08,"Cassiope tetragona"
-157.62,67.25,"Cassiope tetragona"
-154.53,67.22,"Cassiope tetragona"
-145.41,65.46,"Cassiope tetragona"
-150.2,63.43,"Cassiope tetragona"
-155.53,67.67,"Cassiope tetragona"
-155.533333,67.666667,"Cassiope tetragona"
-150.25,63.41,"Cassiope tetragona"
-147.46,63.93,"Cassiope tetragona"
-151.75,68.13,"Cassiope tetragona"
-141.002618372062,68.649799713271,"Cassiope tetragona"
-151.75,68.25,"Cassiope tetragona"
-165.669736724178,68.1326740378161,"Cassiope tetragona"
-165.65306957048,68.1326743564344,"Cassiope tetragona"
-145.33,65.41,"Cassiope tetragona"
-165.66,68.13,"Cassiope tetragona"
-151,65.3,"Cassiope tetragona"
-141,68.66,"Cassiope tetragona"
-145.68,63.16,"Cassiope tetragona"
-152.5,62.66,"Cassiope tetragona"
-165.8,68.1,"Cassiope tetragona"
-165.944738647609,68.1285026644757,"Cassiope tetragona"
-165.97,68.14,"Cassiope tetragona"
-157.153202104591,69.8328853163068,"Cassiope tetragona"
-157.15,69.83,"Cassiope tetragona"
-166.203145033314,68.6326777261184,"Cassiope tetragona"
-156.15,67.71,"Cassiope tetragona"
-157.4,70.51,"Cassiope tetragona"
-145.34,65.42,"Cassiope tetragona"
-150.88,63.51,"Cassiope tetragona"
-165.65,68.133333,"Cassiope tetragona"
-156.72,71.27,"Cassiope tetragona"
-164.5,68.92,"Cassiope tetragona"
-154.83,69.75,"Cassiope tetragona"
-150.28,63.45,"Cassiope tetragona"
-154.836476175948,69.7495927978548,"Cassiope tetragona"
-154.836468501374,69.6995912371448,"Cassiope tetragona"
-159.68662497552,70.1161803553563,"Cassiope tetragona"
-145.98,65.4,"Cassiope tetragona"
-164.75,68.91,"Cassiope tetragona"
-144.9,63.66,"Cassiope tetragona"
-145,68.05,"Cassiope tetragona"
-145.002666812181,68.0497148643104,"Cassiope tetragona"
-143.95,68.383333,"Cassiope tetragona"
-150.33,63.42,"Cassiope tetragona"
-150.33,63.41,"Cassiope tetragona"
-154.833333,70.433333,"Cassiope tetragona"
-144.58,64.41,"Cassiope tetragona"
-155.8,70.533333,"Cassiope tetragona"
-157.333333,69.75,"Cassiope tetragona"
-155.036645496815,70.7662885279969,"Cassiope tetragona"
-165.36,64.56,"Cassiope tetragona"
-165.41,64.5,"Cassiope tetragona"
-157.416667,70.5,"Cassiope tetragona"
-134.16,58.66,"Cassiope tetragona"
-156.92,70.67,"Cassiope tetragona"
-156.73,71.27,"Cassiope tetragona"
-161.2,68.966667,"Cassiope tetragona"
-156.858333,71.253333,"Cassiope tetragona"
-155.5,69.83,"Cassiope tetragona"
-151.466667,69.433333,"Cassiope tetragona"
-151.47,69.43,"Cassiope tetragona"
-156.63,70.7,"Cassiope tetragona"
-156.633333,70.7,"Cassiope tetragona"
-156,71,"Cassiope tetragona"
-156.75,71.26,"Cassiope tetragona"
-157,71,"Cassiope tetragona"
-154.41,61.91,"Cassiope tetragona"
-156.75,71.266667,"Cassiope tetragona"
-157.025,71.1375,"Cassiope tetragona"
-156.6,71.21,"Cassiope tetragona"
-156.975278,71.201389,"Cassiope tetragona"
-156.75,71.27,"Cassiope tetragona"
-156.98,71.2,"Cassiope tetragona"
-156.141667,71.141667,"Cassiope tetragona"
-156,71.13,"Cassiope tetragona"
-163,69.6,"Cassiope tetragona"
-156.46,71.38,"Cassiope tetragona"
-153.6,62.55,"Cassiope tetragona"
-154.7,63.25,"Cassiope tetragona"
-145,69.42,"Cassiope tetragona"
-150.1,67.41,"Cassiope tetragona"
-143.75,63.383333,"Cassiope tetragona"
-143.75,63.38,"Cassiope tetragona"
-156.06,62.98,"Cassiope tetragona"
-150.87,63.47,"Cassiope tetragona"
-149.93,63.51,"Cassiope tetragona"
-149.6,63.6,"Cassiope tetragona"
-120.30333,48.79694,"Cassiope tetragona"
-119.93083,48.66972,"Cassiope tetragona"
-119.91583,48.69028,"Cassiope tetragona"
-149,61.75,"Cassiope tetragona"
-148.94,63.39,"Cassiope tetragona"
-141.669135908459,67.1664108106069,"Cassiope tetragona"
-170.5,63.5,"Cassiope tetragona"
-172.5,63.67,"Cassiope tetragona"
-150,67.5,"Cassiope tetragona"
-146.71,63.61,"Cassiope tetragona"
-147.75,69.666667,"Cassiope tetragona"
-171.6,63.36,"Cassiope tetragona"
-165.977778,68.143889,"Cassiope tetragona"
-170.88,63.56,"Cassiope tetragona"
-170.48,63.7,"Cassiope tetragona"
-152,69.5,"Cassiope tetragona"
-145.17,69.58,"Cassiope tetragona"
-157.41,70.48,"Cassiope tetragona"
-161,68.75,"Cassiope tetragona"
-74.4056,40.0581,"Cassiope tetragona"
-168.08,65.6,"Cassiope tetragona"
-156.003179923095,69.8329067772367,"Cassiope tetragona"
-152.136359089327,69.366297217489,"Cassiope tetragona"
-166,65.08,"Cassiope tetragona"
-145.16,65.41,"Cassiope tetragona"
-170.43,63.6,"Cassiope tetragona"
-154.7,69.86,"Cassiope tetragona"
