"lon","lat","species.name"
-123.814412,46.185421,"Petasites frigidus"
-124.101134,44.280511,"Petasites frigidus"
-123.809,46.187803,"Petasites frigidus"
-124.110442,44.283827,"Petasites frigidus"
-124.092487,44.22352,"Petasites frigidus"
-124.378846,42.436104,"Petasites frigidus"
-123.721603,46.09197,"Petasites frigidus"
-122.574508,37.893725,"Petasites frigidus"
-122.128608,47.53298,"Petasites frigidus"
-123.585442,46.147514,"Petasites frigidus"
-122.737213,45.520145,"Petasites frigidus"
-123.963203,45.765315,"Petasites frigidus"
-123.858748,45.56184,"Petasites frigidus"
-123.877888,45.695389,"Petasites frigidus"
-122.534042,47.31703,"Petasites frigidus"
-122.269201,37.113742,"Petasites frigidus"
-122.336716,47.672947,"Petasites frigidus"
-123.824999,46.178528,"Petasites frigidus"
-123.306491,44.640479,"Petasites frigidus"
-122.263969,47.527931,"Petasites frigidus"
-123.251022,44.662692,"Petasites frigidus"
-123.684228,45.9626,"Petasites frigidus"
-124.112892,44.277286,"Petasites frigidus"
-121.814336,48.239503,"Petasites frigidus"
-122.21005,44.155098,"Petasites frigidus"
-121.836107,47.49056,"Petasites frigidus"
-122.417596,47.666736,"Petasites frigidus"
-122.724128,45.526558,"Petasites frigidus"
-122.850362,47.133294,"Petasites frigidus"
-123.200911,44.772149,"Petasites frigidus"
-123.77185,45.364333,"Petasites frigidus"
-91.196071,47.381962,"Petasites frigidus"
-147.86545,64.863565,"Petasites frigidus"
-84.721644,46.072666,"Petasites frigidus"
-91.731603,47.817662,"Petasites frigidus"
-84.61074,46.139274,"Petasites frigidus"
-91.189895,47.381297,"Petasites frigidus"
-91.136757,46.595318,"Petasites frigidus"
-122.165035,37.31752,"Petasites frigidus"
-91.18985,47.38143,"Petasites frigidus"
-91.095382,47.417597,"Petasites frigidus"
-91.138214,46.594803,"Petasites frigidus"
-123.960208,45.886029,"Petasites frigidus"
-122.71255,38.00044,"Petasites frigidus"
-121.907135,36.998428,"Petasites frigidus"
-122.513966,47.74445,"Petasites frigidus"
-122.762679,48.140642,"Petasites frigidus"
-121.905037,37.022109,"Petasites frigidus"
-123.777723,48.046931,"Petasites frigidus"
-123.814227,46.180924,"Petasites frigidus"
-122.068135,36.997786,"Petasites frigidus"
-122.469009,37.772848,"Petasites frigidus"
-122.041652,45.078742,"Petasites frigidus"
-123.429935,48.037341,"Petasites frigidus"
-124.003333,42.657222,"Petasites frigidus"
-84.538948,45.603961,"Petasites frigidus"
-124.065868,46.298619,"Petasites frigidus"
-122.324535,37.213443,"Petasites frigidus"
