"lon","lat","species.name"
-147.647342433388,62.0260003998436,"Saxifraga flagellaris"
-154.1748,56.9940999991388,"Saxifraga flagellaris"
-142.724,62.633,"Saxifraga flagellaris"
-105.64111,39.6008,"Saxifraga flagellaris"
-170.58391,63.6503399992505,"Saxifraga flagellaris"
-164.063644,64.722425,"Saxifraga flagellaris"
-160.8,67.9,"Saxifraga flagellaris"
-164.3525,63.6434,"Saxifraga flagellaris"
-105.330583,36.915306,"Saxifraga flagellaris"
-154.633333,57.35,"Saxifraga flagellaris"
-154.6325,57.328333,"Saxifraga flagellaris"
-160.388833,55.323167,"Saxifraga flagellaris"
-161.65,59.21,"Saxifraga flagellaris"
-158.051324503168,56.7949671370866,"Saxifraga flagellaris"
-141.288706739808,62.4196275385972,"Saxifraga flagellaris"
-162.32,67.29,"Saxifraga flagellaris"
-161.61,67.96,"Saxifraga flagellaris"
-163.72,67.35,"Saxifraga flagellaris"
-142.93,64.99,"Saxifraga flagellaris"
-141.05,65.3,"Saxifraga flagellaris"
-158,67.46,"Saxifraga flagellaris"
-142.822621705636,65.0041653280221,"Saxifraga flagellaris"
-159.62,66.98,"Saxifraga flagellaris"
-143.088025366128,64.9661270520314,"Saxifraga flagellaris"
-152.19,68.23,"Saxifraga flagellaris"
-152.744,68.195,"Saxifraga flagellaris"
-152.74,68.19,"Saxifraga flagellaris"
-150.48,67.77,"Saxifraga flagellaris"
-161.79,68.48,"Saxifraga flagellaris"
-154.79,59.23,"Saxifraga flagellaris"
-148.91,61.36,"Saxifraga flagellaris"
-150.488,67.776,"Saxifraga flagellaris"
-152.53,68.56,"Saxifraga flagellaris"
-155.84,66.689,"Saxifraga flagellaris"
-156.045,67.42,"Saxifraga flagellaris"
-155.83,66.68,"Saxifraga flagellaris"
-156.04,67.42,"Saxifraga flagellaris"
-149.28,68.62,"Saxifraga flagellaris"
-158.85,68.38,"Saxifraga flagellaris"
-153.83,60.47,"Saxifraga flagellaris"
-152.57,62.53,"Saxifraga flagellaris"
-152.07,62.9,"Saxifraga flagellaris"
-152.59,62.62,"Saxifraga flagellaris"
-159.83,66.91,"Saxifraga flagellaris"
-159.68,66.96,"Saxifraga flagellaris"
-155.31,61.16,"Saxifraga flagellaris"
-155,61.78,"Saxifraga flagellaris"
-155.15,61.9,"Saxifraga flagellaris"
-149.81,63.91,"Saxifraga flagellaris"
-146.63,63.83,"Saxifraga flagellaris"
-104.979721,37.373333,"Saxifraga flagellaris"
-155.8,68.41,"Saxifraga flagellaris"
-160.58,63.71,"Saxifraga flagellaris"
-160.58,64.61,"Saxifraga flagellaris"
-162.626389,64.939722,"Saxifraga flagellaris"
-142.68,62.55,"Saxifraga flagellaris"
