"lon","lat","species.name"
-107.40589,38.07914,"Artemisia scopulorum"
-105.64127,39.6008,"Artemisia scopulorum"
-105.604,39.6328,"Artemisia scopulorum"
-111.4964,38.1606,"Artemisia scopulorum"
-112.07476,38.494525,"Artemisia scopulorum"
-105.033264,38.812181,"Artemisia scopulorum"
-105.01942,38.81359,"Artemisia scopulorum"
-105.039927,38.824154,"Artemisia scopulorum"
-105.026593,38.809388,"Artemisia scopulorum"
-105.044973,38.824991,"Artemisia scopulorum"
-105.88171,39.780022,"Artemisia scopulorum"
-112.357805,38.352926,"Artemisia scopulorum"
-105.78194,39.62527,"Artemisia scopulorum"
-105.781944,39.625279,"Artemisia scopulorum"
-106.20481,39.110969,"Artemisia scopulorum"
-106.151637,38.995518,"Artemisia scopulorum"
-106.309969,41.359963,"Artemisia scopulorum"
-106.033333,39.35,"Artemisia scopulorum"
-106.49347,38.6903959990792,"Artemisia scopulorum"
-116.18333,39.25,"Artemisia scopulorum"
-106.05,39.25,"Artemisia scopulorum"
-106.56132,39.108291,"Artemisia scopulorum"
-112.29,38.42,"Artemisia scopulorum"
-105.56,40.05,"Artemisia scopulorum"
-105.639775,40.2644,"Artemisia scopulorum"
-105.599232,40.467323,"Artemisia scopulorum"
-109.22,38.46,"Artemisia scopulorum"
-106.28742,38.575565,"Artemisia scopulorum"
-112.38,38.37,"Artemisia scopulorum"
-107.182476,38.68372,"Artemisia scopulorum"
-106.75,39.02,"Artemisia scopulorum"
-110.01,40.81,"Artemisia scopulorum"
-109.46,45.03,"Artemisia scopulorum"
-109.24,38.44,"Artemisia scopulorum"
-110.47,40.79,"Artemisia scopulorum"
-107.052485,38.88289,"Artemisia scopulorum"
-105.774,35.7923,"Artemisia scopulorum"
-111.51,38.12,"Artemisia scopulorum"
-105.424,36.5854,"Artemisia scopulorum"
-109.464,44.968,"Artemisia scopulorum"
-112.34,38.39,"Artemisia scopulorum"
-105.598196,39.638802,"Artemisia scopulorum"
-105.64,40.53,"Artemisia scopulorum"
-106.141445,39.263059,"Artemisia scopulorum"
-105.642918,39.588457,"Artemisia scopulorum"
-105.61694,40.05972,"Artemisia scopulorum"
-106.060559,39.359624,"Artemisia scopulorum"
-105.888938,39.771831,"Artemisia scopulorum"
-106.29581,41.35413,"Artemisia scopulorum"
-106.14028994115,41.2979440041183,"Artemisia scopulorum"
-110.47,38.12,"Artemisia scopulorum"
-111.45,38.18,"Artemisia scopulorum"
-107.616667,37.633333,"Artemisia scopulorum"
-105.64278,39.58861,"Artemisia scopulorum"
-109.40664369592,45.0057373054789,"Artemisia scopulorum"
-105.637187,40.077423,"Artemisia scopulorum"
-105.634522,40.07433,"Artemisia scopulorum"
-105.81,40.41,"Artemisia scopulorum"
-105.02,38.81,"Artemisia scopulorum"
-105.043935,38.83869,"Artemisia scopulorum"
-105.81,39.63,"Artemisia scopulorum"
-106.6819,37.2283,"Artemisia scopulorum"
-106.98997,38.95932,"Artemisia scopulorum"
-105.5956,39.6298,"Artemisia scopulorum"
-107.8293,37.7704,"Artemisia scopulorum"
-105.9876,39.4116,"Artemisia scopulorum"
-107.0557,37.8639,"Artemisia scopulorum"
-106.4764,37.0924,"Artemisia scopulorum"
-105.6631,38.0778,"Artemisia scopulorum"
-107.5314,38.0084,"Artemisia scopulorum"
-105.90278,40.47395,"Artemisia scopulorum"
-105.1636,37.2286,"Artemisia scopulorum"
-106.6479,40.7922,"Artemisia scopulorum"
-105.6848,40.627,"Artemisia scopulorum"
-105.8489,40.5177,"Artemisia scopulorum"
-105.9653,40.3482,"Artemisia scopulorum"
-106.5983,37.965,"Artemisia scopulorum"
-105.0539,38.7916,"Artemisia scopulorum"
-107.5502,37.7199,"Artemisia scopulorum"
-105.585,39.9916,"Artemisia scopulorum"
-106.0987,39.455,"Artemisia scopulorum"
-106.6293,37.24,"Artemisia scopulorum"
-107.0492,37.9517,"Artemisia scopulorum"
-105.94,39.87,"Artemisia scopulorum"
-106.6326,37.2437,"Artemisia scopulorum"
-105.6633,40.5158,"Artemisia scopulorum"
-107.13324,38.86515,"Artemisia scopulorum"
-108.0595,37.7424,"Artemisia scopulorum"
-105.6784,40.6335,"Artemisia scopulorum"
-106.6819,37.3878,"Artemisia scopulorum"
-106.5793,37.3565,"Artemisia scopulorum"
-106.6003,38.992,"Artemisia scopulorum"
-105.5803,40.5803,"Artemisia scopulorum"
-106.1172,39.2671,"Artemisia scopulorum"
-105.9381,39.6342,"Artemisia scopulorum"
-105.6429,39.589,"Artemisia scopulorum"
-105.6992,39.9067,"Artemisia scopulorum"
