"lon","lat","species.name"
-105.637879,40.265651,"Geum rossii"
-105.634292,39.582161,"Geum rossii"
-105.752639,40.421744,"Geum rossii"
-114.589057,44.135194,"Geum rossii"
-109.439599,44.969686,"Geum rossii"
-106.406052,38.82917,"Geum rossii"
-105.752635,40.423134,"Geum rossii"
-107.40589,38.07914,"Geum rossii"
-105.729332,39.606973,"Geum rossii"
-105.60539,39.63171,"Geum rossii"
-107.258607,37.638123,"Geum rossii"
-105.04539,39.09864,"Geum rossii"
-149.119247,61.035656,"Geum rossii"
-142.72135,62.715525,"Geum rossii"
-105.1045,40.98537,"Geum rossii"
-105.64279,39.60024,"Geum rossii"
-105.60395,39.63099,"Geum rossii"
-149.120413,61.05494,"Geum rossii"
-106.169298,39.1806779990759,"Geum rossii"
-105.721748,40.410533,"Geum rossii"
-107.537506,37.933608,"Geum rossii"
-105.71372,39.5984199990732,"Geum rossii"
-111.7338,38.6066,"Geum rossii"
-105.6,40.05,"Geum rossii"
-154.011231,60.6166879991942,"Geum rossii"
-105.017542,38.815815,"Geum rossii"
-105.029485,38.811334,"Geum rossii"
-105.022761,38.81623,"Geum rossii"
-105.029152,38.812307,"Geum rossii"
-105.028519,38.813551,"Geum rossii"
-105.034802,38.823635,"Geum rossii"
-105.027433,38.806062,"Geum rossii"
-105.027764,38.827078,"Geum rossii"
-153.9239,57.2819,"Geum rossii"
173.620486099792,52.4620987929531,"Geum rossii"
-141.05,66.8,"Geum rossii"
-105.325667,36.906556,"Geum rossii"
-107.53405,37.784042,"Geum rossii"
-154.25,57.283333,"Geum rossii"
-160.5,55.3375,"Geum rossii"
-105.836389,39.531111,"Geum rossii"
-105.83,39.53,"Geum rossii"
-161.34,59.36,"Geum rossii"
-161.65,59.21,"Geum rossii"
-136.0679,57.7352,"Geum rossii"
-135.9675,57.6799,"Geum rossii"
-111.2,40.05,"Geum rossii"
-135.924,57.643,"Geum rossii"
-105.775015,39.797902,"Geum rossii"
-105.60277,39.635,"Geum rossii"
-142.259654410051,61.3210893523135,"Geum rossii"
-150.69700517525,59.6699575627766,"Geum rossii"
-159.43,67.74,"Geum rossii"
-141.021930475282,65.2755342882603,"Geum rossii"
-158.09,67.24,"Geum rossii"
-141.055437161124,65.3387024404372,"Geum rossii"
-143.08,64.96,"Geum rossii"
-141.07,65.2,"Geum rossii"
-159.44,67.74,"Geum rossii"
-153.69,59.6,"Geum rossii"
-152.534,68.564,"Geum rossii"
-143.7,64.53,"Geum rossii"
-152.74,68.19,"Geum rossii"
-152.744,68.195,"Geum rossii"
-152.53,68.56,"Geum rossii"
-148.91,61.36,"Geum rossii"
-142.899439695147,64.8023258805957,"Geum rossii"
-142.93,64.86,"Geum rossii"
-153.79,58.63,"Geum rossii"
-161.79,68.48,"Geum rossii"
-149.17,68.36,"Geum rossii"
-169.58,56.58,"Geum rossii"
-152.57,62.53,"Geum rossii"
-165.75,64.7,"Geum rossii"
-159.74,61.18,"Geum rossii"
-152.05,62.95,"Geum rossii"
-152.12,62.98,"Geum rossii"
-153.86,60.78,"Geum rossii"
-155.6,61.11,"Geum rossii"
-105.78055,39.62527,"Geum rossii"
-110.77,40.69,"Geum rossii"
-105.0286,37.8925,"Geum rossii"
-105.0292,37.8909,"Geum rossii"
-160.75,63.63,"Geum rossii"
-159.86,64.51,"Geum rossii"
-106.174973,39.107724,"Geum rossii"
-159.48,64.45,"Geum rossii"
-110.64,40.5,"Geum rossii"
-149.13,63.44,"Geum rossii"
-106.543979,38.66534,"Geum rossii"
-104.979721,37.373333,"Geum rossii"
-146.65,63.84,"Geum rossii"
-159.93,63.86,"Geum rossii"
