"lon","lat","species.name"
-111.808,41.2135,"Ligusticum filicinum"
-111.822,41.233,"Ligusticum filicinum"
-111.65,42.3,"Ligusticum filicinum"
-111.666667,42.2,"Ligusticum filicinum"
-111.65,42.2,"Ligusticum filicinum"
-111.58,42.32,"Ligusticum filicinum"
-110.503837,43.883015,"Ligusticum filicinum"
-110.7372,42.19778,"Ligusticum filicinum"
-114.275,43.3212,"Ligusticum filicinum"
-110.9,40.6778,"Ligusticum filicinum"
-109.915,43.3287,"Ligusticum filicinum"
-117.3875,45.2319,"Ligusticum filicinum"
-105.61694,40.05972,"Ligusticum filicinum"
-117.6954,45.7564,"Ligusticum filicinum"
-110.855769,44.818822,"Ligusticum filicinum"
-117.1917,45.0083,"Ligusticum filicinum"
-118.3461,44.6678,"Ligusticum filicinum"
-106.6479,40.7922,"Ligusticum filicinum"
-106.6458,37.2283,"Ligusticum filicinum"
