"lon","lat","species.name"
-148.96878,63.801955,"Thalictrum alpinum"
-105.60437,39.63498,"Thalictrum alpinum"
-105.643295215755,39.5950381447861,"Thalictrum alpinum"
-132.1,56.4339999991315,"Thalictrum alpinum"
-105.48403,39.27,"Thalictrum alpinum"
-105.497672,39.2768259990752,"Thalictrum alpinum"
-106.169659,39.1807819990759,"Thalictrum alpinum"
-105.320602,36.959339,"Thalictrum alpinum"
-152.559,58.338,"Thalictrum alpinum"
-141.066667,66.8,"Thalictrum alpinum"
-153.165556,57.583333,"Thalictrum alpinum"
-166.306667,64.718056,"Thalictrum alpinum"
-154.583333,57.45,"Thalictrum alpinum"
-160.388833,55.323167,"Thalictrum alpinum"
-154.6325,57.328333,"Thalictrum alpinum"
-161.7,59.37,"Thalictrum alpinum"
-134.65507,58.0972,"Thalictrum alpinum"
-136.0607,57.7362,"Thalictrum alpinum"
-135.9334,57.6583,"Thalictrum alpinum"
-162.32,67.29,"Thalictrum alpinum"
-150.671637421315,59.6652079054687,"Thalictrum alpinum"
-158.09,67.24,"Thalictrum alpinum"
-141.131766592763,65.2755325442111,"Thalictrum alpinum"
-142.822621705636,65.0041653280221,"Thalictrum alpinum"
-141.22,65.11,"Thalictrum alpinum"
-158.06,67.52,"Thalictrum alpinum"
-159.49,67.75,"Thalictrum alpinum"
-141.104314798836,65.0749616748952,"Thalictrum alpinum"
-142.93,64.99,"Thalictrum alpinum"
-152.53,68.56,"Thalictrum alpinum"
-154.1,68.35,"Thalictrum alpinum"
-143.7,64.53,"Thalictrum alpinum"
-154.78,59.24,"Thalictrum alpinum"
-153.77,58.63,"Thalictrum alpinum"
-152.57,68.57,"Thalictrum alpinum"
-161.79,68.48,"Thalictrum alpinum"
-152.577,68.57,"Thalictrum alpinum"
-152.68,68.2,"Thalictrum alpinum"
-156.04,67.42,"Thalictrum alpinum"
-156.045,67.42,"Thalictrum alpinum"
-163.67,67.27,"Thalictrum alpinum"
-149.63,68.58,"Thalictrum alpinum"
-111.681944,38.594722,"Thalictrum alpinum"
-152.78,62.52,"Thalictrum alpinum"
-105.712001,38.131998,"Thalictrum alpinum"
-135.91,59.66,"Thalictrum alpinum"
-152.77,62.53,"Thalictrum alpinum"
-155.63,61.28,"Thalictrum alpinum"
-155.6,61.11,"Thalictrum alpinum"
-151.65,63,"Thalictrum alpinum"
-105.0292,37.8909,"Thalictrum alpinum"
-135.268135,57.063417,"Thalictrum alpinum"
-149.55,63.64,"Thalictrum alpinum"
-159.48,64.45,"Thalictrum alpinum"
-105.016667,37.9,"Thalictrum alpinum"
-145.79,63.78,"Thalictrum alpinum"
-162.568056,65.018611,"Thalictrum alpinum"
-160.48,63.78,"Thalictrum alpinum"
-160.56,64.56,"Thalictrum alpinum"
-105.605351,39.646748,"Thalictrum alpinum"
-154.33,60.66,"Thalictrum alpinum"
-141.05,65.35,"Thalictrum alpinum"
-106.989756,38.948751,"Thalictrum alpinum"
-142.66,61.43,"Thalictrum alpinum"
-147.36,65.61,"Thalictrum alpinum"
-162.08,58.65,"Thalictrum alpinum"
-106.098278,39.002251,"Thalictrum alpinum"
-147.25,65.88,"Thalictrum alpinum"
-161.4,59.37,"Thalictrum alpinum"
-133.5,56.25,"Thalictrum alpinum"
-161.66,59.29,"Thalictrum alpinum"
-160.08,59.86,"Thalictrum alpinum"
-118.900276,37.566666,"Thalictrum alpinum"
-141.166667,66.583333,"Thalictrum alpinum"
-141.116667,66.616667,"Thalictrum alpinum"
-152.58,58.25,"Thalictrum alpinum"
-150.96,63.51,"Thalictrum alpinum"
-118.2146,37.5345,"Thalictrum alpinum"
-153.83,57.72,"Thalictrum alpinum"
-117.3,45.3,"Thalictrum alpinum"
-133.18,55.08,"Thalictrum alpinum"
-163.75,64.53,"Thalictrum alpinum"
-149.66,68.63,"Thalictrum alpinum"
-118.1759,37.5405,"Thalictrum alpinum"
-164.43,65.83,"Thalictrum alpinum"
-151.33,59.55,"Thalictrum alpinum"
-157.03,56.78,"Thalictrum alpinum"
-135.96,58.7,"Thalictrum alpinum"
-149.06,61.4,"Thalictrum alpinum"
-149.05,61.38,"Thalictrum alpinum"
-165.36,64.5,"Thalictrum alpinum"
-112.39169,40.91919,"Thalictrum alpinum"
-106.397596,38.758618,"Thalictrum alpinum"
-118.1706,37.5483,"Thalictrum alpinum"
-110.759626231011,40.569176081818,"Thalictrum alpinum"
-142.76,62.68,"Thalictrum alpinum"
-109.87083,40.88056,"Thalictrum alpinum"
-164.25,64.63,"Thalictrum alpinum"
-107.541046,37.893329,"Thalictrum alpinum"
-105.630156,39.580319,"Thalictrum alpinum"
-135.06,58.06,"Thalictrum alpinum"
-149.752735959455,67.5996197013412,"Thalictrum alpinum"
-148.95,60.36,"Thalictrum alpinum"
-106.956,38.0545,"Thalictrum alpinum"
-141.252630560567,68.6831296867598,"Thalictrum alpinum"
-141.219296484049,68.6831302307459,"Thalictrum alpinum"
-148.81,62.61,"Thalictrum alpinum"
-149.01,60.36,"Thalictrum alpinum"
-165.23,64.85,"Thalictrum alpinum"
-153.66,67.35,"Thalictrum alpinum"
-159.753162085431,69.28281963067,"Thalictrum alpinum"
-156.91,67.08,"Thalictrum alpinum"
-161.73,58.93,"Thalictrum alpinum"
-143.502720125062,68.8330972005756,"Thalictrum alpinum"
-143.75269809267,68.5997527289608,"Thalictrum alpinum"
-166.25,64.78,"Thalictrum alpinum"
-142.3,69.88,"Thalictrum alpinum"
-153.71,67.41,"Thalictrum alpinum"
-153.72,67.42,"Thalictrum alpinum"
-145.102830067515,69.2997519088144,"Thalictrum alpinum"
-154.15,68.18,"Thalictrum alpinum"
-158.33,68.25,"Thalictrum alpinum"
-145.06949607543,69.299752477446,"Thalictrum alpinum"
-118.215109,37.53357,"Thalictrum alpinum"
-148.336407335771,70.3330621034975,"Thalictrum alpinum"
-118.8645,37.5493,"Thalictrum alpinum"
-105.709631,40.393463,"Thalictrum alpinum"
-154.53,67.22,"Thalictrum alpinum"
-160.8,67.9,"Thalictrum alpinum"
-118.8649,37.5495,"Thalictrum alpinum"
-118.8633,37.5473,"Thalictrum alpinum"
-118.8734,37.5491,"Thalictrum alpinum"
-118.25,37.5,"Thalictrum alpinum"
-155.53,67.67,"Thalictrum alpinum"
-118.8722,37.5317,"Thalictrum alpinum"
-118.8632,37.5476,"Thalictrum alpinum"
-118.8675,37.5311,"Thalictrum alpinum"
-134.65,58.38,"Thalictrum alpinum"
-165.766667,68.1,"Thalictrum alpinum"
-107.616667,37.633333,"Thalictrum alpinum"
-147.46,63.93,"Thalictrum alpinum"
-118.218,37.5272,"Thalictrum alpinum"
-165.803066364655,68.0993375737777,"Thalictrum alpinum"
-166.2034347204,68.7132359934953,"Thalictrum alpinum"
-165.669736724178,68.1326740378161,"Thalictrum alpinum"
-145.91,65.4,"Thalictrum alpinum"
-145.002666812181,68.0497148643104,"Thalictrum alpinum"
-144.66,63.58,"Thalictrum alpinum"
-149.3,63.71,"Thalictrum alpinum"
-154.5,67.16,"Thalictrum alpinum"
-150.25,63.5,"Thalictrum alpinum"
-105.165958,38.864525,"Thalictrum alpinum"
-105.50861,39.96138,"Thalictrum alpinum"
-154.41,61.91,"Thalictrum alpinum"
-154.55,61.86,"Thalictrum alpinum"
-149.17,69.42,"Thalictrum alpinum"
-117.3,45.2,"Thalictrum alpinum"
-113.744743,44.092357,"Thalictrum alpinum"
-118.738,37.4328,"Thalictrum alpinum"
-118.738,37.43282,"Thalictrum alpinum"
-150.13,63.46,"Thalictrum alpinum"
-149.66,63.56,"Thalictrum alpinum"
-150.1,67.41,"Thalictrum alpinum"
-118.737999,37.432819,"Thalictrum alpinum"
-106.015033,39.384268,"Thalictrum alpinum"
-105.787115,40.36716,"Thalictrum alpinum"
-118.224679,37.589123,"Thalictrum alpinum"
-118.2247,37.5891,"Thalictrum alpinum"
-118.2275,37.5885,"Thalictrum alpinum"
-118.2261,37.589,"Thalictrum alpinum"
-118.2253,37.5891,"Thalictrum alpinum"
-118.222328,37.590483,"Thalictrum alpinum"
-148.94,63.39,"Thalictrum alpinum"
-118.17598,37.53818,"Thalictrum alpinum"
-118.173776762099,37.5583792839033,"Thalictrum alpinum"
-105.8532,40.3608,"Thalictrum alpinum"
-107.0268,38.992,"Thalictrum alpinum"
-118.6534,37.1767,"Thalictrum alpinum"
-105.6241,39.6034,"Thalictrum alpinum"
-105.8337,40.2698,"Thalictrum alpinum"
-105.5618,40.5661,"Thalictrum alpinum"
-168.08,65.6,"Thalictrum alpinum"
-106.0802,39.3683,"Thalictrum alpinum"
-105.175,38.7458,"Thalictrum alpinum"
-105.8189,40.4304,"Thalictrum alpinum"
-105.573,40.0838,"Thalictrum alpinum"
-105.645,38.0933,"Thalictrum alpinum"
-105.1239,38.9702,"Thalictrum alpinum"
-105.7538,40.4266,"Thalictrum alpinum"
-105.8417,40.3204,"Thalictrum alpinum"
-149.1,61.66,"Thalictrum alpinum"
-107.6787,37.7344,"Thalictrum alpinum"
-105.0539,38.7916,"Thalictrum alpinum"
-145.919514207039,69.2497363358165,"Thalictrum alpinum"
