"lon","lat","species.name"
-105.530376,41.316061,"Trifolium dasyphyllum"
-107.10823,38.911638,"Trifolium dasyphyllum"
-105.64111,39.6008,"Trifolium dasyphyllum"
-105.02995,38.85286,"Trifolium dasyphyllum"
-105.604,39.6328,"Trifolium dasyphyllum"
-105.017542,38.815815,"Trifolium dasyphyllum"
-105.031133,38.811091,"Trifolium dasyphyllum"
-105.027433,38.806062,"Trifolium dasyphyllum"
-105.87,39.66,"Trifolium dasyphyllum"
-105.87916,39.66333,"Trifolium dasyphyllum"
-109.07,38.36,"Trifolium dasyphyllum"
-105.63944,39.60222,"Trifolium dasyphyllum"
-106.17277,39.28833,"Trifolium dasyphyllum"
-105.713081,38.137399,"Trifolium dasyphyllum"
-105.321498,40.197238,"Trifolium dasyphyllum"
-105.03087,37.899564,"Trifolium dasyphyllum"
-105.0292,37.8909,"Trifolium dasyphyllum"
-110.32,40.82,"Trifolium dasyphyllum"
-105.033,37.8973,"Trifolium dasyphyllum"
-106.094493,38.989734,"Trifolium dasyphyllum"
-106.155206,38.994852,"Trifolium dasyphyllum"
-108.99055,42.66972,"Trifolium dasyphyllum"
-110.63,40.77,"Trifolium dasyphyllum"
-109.81,40.76,"Trifolium dasyphyllum"
-110.31,40.8,"Trifolium dasyphyllum"
-106.298682,41.357482,"Trifolium dasyphyllum"
-105.45,36.85,"Trifolium dasyphyllum"
-109.26,38.4,"Trifolium dasyphyllum"
-109.23,38.47,"Trifolium dasyphyllum"
-110.51,40.88,"Trifolium dasyphyllum"
-109.21,38.5,"Trifolium dasyphyllum"
-106.481892,38.688779,"Trifolium dasyphyllum"
-106.298265,38.58115,"Trifolium dasyphyllum"
-105.590655,38.120783,"Trifolium dasyphyllum"
-110.64,40.47,"Trifolium dasyphyllum"
-109.83,40.76,"Trifolium dasyphyllum"
-109.24,38.44,"Trifolium dasyphyllum"
-107.517167,37.906313,"Trifolium dasyphyllum"
-106.115168,39.341273,"Trifolium dasyphyllum"
-105.878586,39.661834,"Trifolium dasyphyllum"
-105.606471,39.634957,"Trifolium dasyphyllum"
-105.601508,39.639137,"Trifolium dasyphyllum"
-105.637263,39.593453,"Trifolium dasyphyllum"
-105.590104,39.643862,"Trifolium dasyphyllum"
-106.12814,39.326704,"Trifolium dasyphyllum"
-105.598337,39.638946,"Trifolium dasyphyllum"
-106.966667,39,"Trifolium dasyphyllum"
-107.108333,39.025,"Trifolium dasyphyllum"
-110.79,38.08,"Trifolium dasyphyllum"
-106.312932,38.84243,"Trifolium dasyphyllum"
-105.439768,41.233758,"Trifolium dasyphyllum"
-105.61694,40.05972,"Trifolium dasyphyllum"
-106.082451,39.314559,"Trifolium dasyphyllum"
-106.089636,39.336577,"Trifolium dasyphyllum"
-106.083429,39.314766,"Trifolium dasyphyllum"
-105.838232,40.264241,"Trifolium dasyphyllum"
-107.783576,37.98826,"Trifolium dasyphyllum"
-109.416667,45.016667,"Trifolium dasyphyllum"
-105.535625,40.029781,"Trifolium dasyphyllum"
-110.81,38.11,"Trifolium dasyphyllum"
-105.599303,39.636112,"Trifolium dasyphyllum"
-105.870671,40.477867,"Trifolium dasyphyllum"
-105.576423,40.010058,"Trifolium dasyphyllum"
-105.891426,40.519113,"Trifolium dasyphyllum"
-105.747528,40.421079,"Trifolium dasyphyllum"
-105.661121,40.075622,"Trifolium dasyphyllum"
-105.500278,38.9984,"Trifolium dasyphyllum"
-105.644324,39.598353,"Trifolium dasyphyllum"
-106.010526,39.386542,"Trifolium dasyphyllum"
-105.602364,39.654441,"Trifolium dasyphyllum"
-106.3246,38.494767,"Trifolium dasyphyllum"
-105.0439,38.838681,"Trifolium dasyphyllum"
-106.014767,39.384343,"Trifolium dasyphyllum"
-105.511701,40.071685,"Trifolium dasyphyllum"
-105.781319,39.652915,"Trifolium dasyphyllum"
-109.2336,38.4731,"Trifolium dasyphyllum"
-109.1881,38.4803,"Trifolium dasyphyllum"
-109.2289,38.4383,"Trifolium dasyphyllum"
-105.662223,39.598566,"Trifolium dasyphyllum"
-107.152,40.034,"Trifolium dasyphyllum"
-106.5628,37.5897,"Trifolium dasyphyllum"
-106.45,38.6423,"Trifolium dasyphyllum"
-105.4658,39.6607,"Trifolium dasyphyllum"
-105.5884,40.5158,"Trifolium dasyphyllum"
-105.95,39.875,"Trifolium dasyphyllum"
-105.945,40.595833,"Trifolium dasyphyllum"
-105.5803,40.5803,"Trifolium dasyphyllum"
-106.0987,39.3249,"Trifolium dasyphyllum"
-106.04555,39.48222,"Trifolium dasyphyllum"
-105.6999,39.9338,"Trifolium dasyphyllum"
-105.8782,39.6638,"Trifolium dasyphyllum"
-105.5956,39.6298,"Trifolium dasyphyllum"
-105.5957,39.6435,"Trifolium dasyphyllum"
-105.942,40.3849,"Trifolium dasyphyllum"
-105.5585,40.072,"Trifolium dasyphyllum"
-105.7538,40.4266,"Trifolium dasyphyllum"
-105.6595,40.6625,"Trifolium dasyphyllum"
-106.3036,40.3873,"Trifolium dasyphyllum"
-105.9908,40.2775,"Trifolium dasyphyllum"
-105.8919,40.5185,"Trifolium dasyphyllum"
-106.38022,39.08194,"Trifolium dasyphyllum"
-105.703,38.1264,"Trifolium dasyphyllum"
-107.6797,39.0381,"Trifolium dasyphyllum"
-106.43808,38.68733,"Trifolium dasyphyllum"
-105.8915,40.5211,"Trifolium dasyphyllum"
-106.1301,40.3251,"Trifolium dasyphyllum"
-105.539,40.0751,"Trifolium dasyphyllum"
-106.3249,38.4966,"Trifolium dasyphyllum"
-105.663889,39.853889,"Trifolium dasyphyllum"
-106.1675,40.1948,"Trifolium dasyphyllum"
-105.8739,40.3669,"Trifolium dasyphyllum"
