"lon","lat","species.name"
-120.687272,38.369583,"Viola purpurea"
-120.687217,38.369513,"Viola purpurea"
-121.03569,39.209512,"Viola purpurea"
-121.914739,37.882485,"Viola purpurea"
-115.865051,43.525969,"Viola purpurea"
-120.805718,39.360908,"Viola purpurea"
-112.431419,42.79286,"Viola purpurea"
-112.431083,42.792125,"Viola purpurea"
-112.43149,42.792305,"Viola purpurea"
-121.938325,37.884308,"Viola purpurea"
-120.235893,39.432716,"Viola purpurea"
-116.116455,43.577422,"Viola purpurea"
-111.987617,43.414628,"Viola purpurea"
-112.30392,42.654349,"Viola purpurea"
-121.9385,37.884455,"Viola purpurea"
-110.512247,43.860587,"Viola purpurea"
-120.534113,38.73317,"Viola purpurea"
-120.198035,39.434415,"Viola purpurea"
-120.204555,39.434037,"Viola purpurea"
-121.910308,37.884463,"Viola purpurea"
-112.439575,42.757012,"Viola purpurea"
-112.438625,42.749748,"Viola purpurea"
-121.912824,37.881507,"Viola purpurea"
-121.269357,39.635087,"Viola purpurea"
-121.916588,37.88113,"Viola purpurea"
-121.914768,37.882636,"Viola purpurea"
-121.836823,37.82328,"Viola purpurea"
-120.868582,36.321443,"Viola purpurea"
-121.916685,37.881102,"Viola purpurea"
-112.322463,42.714078,"Viola purpurea"
-122.759883,38.734123,"Viola purpurea"
-117.307023,34.305337,"Viola purpurea"
-118.019384,34.344065,"Viola purpurea"
-121.031913,39.207257,"Viola purpurea"
-112.431878,42.709838,"Viola purpurea"
-112.17993,42.696922,"Viola purpurea"
-122.610887,37.911971,"Viola purpurea"
-118.008278,34.338368,"Viola purpurea"
-120.129333,39.292992,"Viola purpurea"
-119.594699,37.737755,"Viola purpurea"
-119.061841,34.778368,"Viola purpurea"
-112.369942,42.8478,"Viola purpurea"
-122.759802,38.734292,"Viola purpurea"
-121.91427,37.882273,"Viola purpurea"
-118.010631,34.313808,"Viola purpurea"
-119.177265,34.532808,"Viola purpurea"
-121.914514,37.882679,"Viola purpurea"
-119.182498,34.534108,"Viola purpurea"
-120.808904,36.340703,"Viola purpurea"
-121.041188,39.196914,"Viola purpurea"
-122.759858,38.734047,"Viola purpurea"
-120.532332,38.732393,"Viola purpurea"
-117.686491,34.384084,"Viola purpurea"
-122.768194,38.723546,"Viola purpurea"
-119.97463,38.927299,"Viola purpurea"
