"lon","lat","species.name"
7.085863,45.183793,"Androsace vitaliana"
7.120768,44.3904,"Androsace vitaliana"
13.745184,42.378479,"Androsace vitaliana"
6.95453,44.65589,"Androsace vitaliana"
14.1,42.11,"Androsace vitaliana"
7.14444,45.20833,"Androsace vitaliana"
11.574722,46.5125,"Androsace vitaliana"
12.07167,42.79583,"Androsace vitaliana"
11.66,46.5,"Androsace vitaliana"
7.09,44.86,"Androsace vitaliana"
7.01,44.84,"Androsace vitaliana"
14.06,42.1,"Androsace vitaliana"
13.94,42.1,"Androsace vitaliana"
11.82,46.48,"Androsace vitaliana"
6.94,45.05,"Androsace vitaliana"
12.8333,42.8333,"Androsace vitaliana"
