"lon","lat","species.name"
7.090667,45.076578,"Botrychium lunaria"
7.073973,45.038737,"Botrychium lunaria"
7.103404,45.051716,"Botrychium lunaria"
9.189465,44.689536,"Botrychium lunaria"
7.126554,45.049191,"Botrychium lunaria"
7.154975,45.868587,"Botrychium lunaria"
7.336466,45.580284,"Botrychium lunaria"
10.217778,46.490222,"Botrychium lunaria"
11.683138,46.962672,"Botrychium lunaria"
7.167635,45.872129,"Botrychium lunaria"
6.682949,45.114361,"Botrychium lunaria"
9.611465,40.537778,"Botrychium lunaria"
7.920313,45.965538,"Botrychium lunaria"
7.393756,45.590618,"Botrychium lunaria"
7.329535,45.547543,"Botrychium lunaria"
11.612463,46.554375,"Botrychium lunaria"
10.867882,46.493191,"Botrychium lunaria"
10.606306,46.51722,"Botrychium lunaria"
7.06397,44.66545,"Botrychium lunaria"
10.524603,46.650631,"Botrychium lunaria"
7.851,44.1445,"Botrychium lunaria"
7.26947,44.1635,"Botrychium lunaria"
9.338722,46.490269,"Botrychium lunaria"
7.4905,45.904833,"Botrychium lunaria"
7.149333,45.492474,"Botrychium lunaria"
13.52,42.43,"Botrychium lunaria"
13.4333,42.65,"Botrychium lunaria"
13.43,42.65,"Botrychium lunaria"
11.495556,46.626389,"Botrychium lunaria"
11.495,46.620556,"Botrychium lunaria"
11.4251,46.4141,"Botrychium lunaria"
10.57111,46.2025,"Botrychium lunaria"
13,42.46667,"Botrychium lunaria"
10.584167,45.811944,"Botrychium lunaria"
11.68243,46.66744,"Botrychium lunaria"
12.104444,46.756667,"Botrychium lunaria"
11.361,46.864,"Botrychium lunaria"
13.31389,46.57917,"Botrychium lunaria"
0,0,"Botrychium lunaria"
13.56889,46.47239,"Botrychium lunaria"
10.54194,46.51056,"Botrychium lunaria"
12.24583,46.56528,"Botrychium lunaria"
10.566667,46.25,"Botrychium lunaria"
11.2127,46.239,"Botrychium lunaria"
