"lon","lat","species.name"
10.890778,45.810226,"Draba aizoides"
10.86668,45.774406,"Draba aizoides"
8.430333,46.427696,"Draba aizoides"
7.55233,45.61611,"Draba aizoides"
10.02556,46.06333,"Draba aizoides"
8.404455,46.425512,"Draba aizoides"
13.72,41.83,"Draba aizoides"
13.45,46.46667,"Draba aizoides"
13.56667,42.46667,"Draba aizoides"
13.53333,42.05,"Draba aizoides"
13.05,42.41667,"Draba aizoides"
11.513333,46.962778,"Draba aizoides"
11.818,46.489,"Draba aizoides"
12.07167,42.79583,"Draba aizoides"
11.053889,46.712222,"Draba aizoides"
