"lon","lat","species.name"
18.680026,57.810029,"Carex nigra"
16.317412,58.896128,"Carex nigra"
19.114802,57.852438,"Carex nigra"
17.596909,59.831309,"Carex nigra"
16.955261,58.735036,"Carex nigra"
13.158729,56.036584,"Carex nigra"
17.643514,59.138516,"Carex nigra"
17.595212,59.831196,"Carex nigra"
16.910561,59.261316,"Carex nigra"
18.240768,59.255723,"Carex nigra"
15.759244,58.650505,"Carex nigra"
16.502429,59.658872,"Carex nigra"
16.534158,56.349972,"Carex nigra"
17.019149,59.272738,"Carex nigra"
15.534,58.41548,"Carex nigra"
14.822391,59.439326,"Carex nigra"
16.040291,56.306517,"Carex nigra"
16.770414,56.95218,"Carex nigra"
16.244424,58.770185,"Carex nigra"
18.709563,63.31651,"Carex nigra"
14.077562,57.465732,"Carex nigra"
16.44509,59.065323,"Carex nigra"
15.025617,56.16252,"Carex nigra"
16.167106,59.922795,"Carex nigra"
14.562733,56.921545,"Carex nigra"
13.607922,56.330972,"Carex nigra"
16.680924,56.811578,"Carex nigra"
17.681324,59.105212,"Carex nigra"
16.13111,56.456928,"Carex nigra"
18.363307,57.089462,"Carex nigra"
16.419443,58.914022,"Carex nigra"
16.273646,58.997363,"Carex nigra"
15.38815,57.723047,"Carex nigra"
17.977535,59.790532,"Carex nigra"
16.500399,56.36018,"Carex nigra"
16.502169,59.661672,"Carex nigra"
16.12484,58.777329,"Carex nigra"
13.522358,56.331635,"Carex nigra"
14.219999,55.877667,"Carex nigra"
20.299823,63.685775,"Carex nigra"
13.828037,58.333207,"Carex nigra"
13.522789,56.346288,"Carex nigra"
17.008019,58.710196,"Carex nigra"
16.107925,56.700272,"Carex nigra"
12.934249,55.783183,"Carex nigra"
12.884689,57.54976,"Carex nigra"
12.555295,56.441865,"Carex nigra"
15.229669,58.273693,"Carex nigra"
15.762029,60.845589,"Carex nigra"
14.21142,55.507932,"Carex nigra"
13.621307,56.246998,"Carex nigra"
11.906666,57.626343,"Carex nigra"
16.244945,58.756825,"Carex nigra"
13.383883,55.926692,"Carex nigra"
16.550201,56.346368,"Carex nigra"
19.043305,59.71995,"Carex nigra"
11.79108,57.566289,"Carex nigra"
17.049018,58.705819,"Carex nigra"
11.728647,57.648461,"Carex nigra"
16.365247,58.61341,"Carex nigra"
16.444955,59.60016,"Carex nigra"
16.548585,56.398777,"Carex nigra"
16.132889,58.80314,"Carex nigra"
17.086469,58.756583,"Carex nigra"
15.501454,58.326802,"Carex nigra"
18.105383,59.343753,"Carex nigra"
16.809707,58.691781,"Carex nigra"
16.398413,59.571628,"Carex nigra"
16.420871,59.589353,"Carex nigra"
17.959631,57.284293,"Carex nigra"
16.287579,58.324184,"Carex nigra"
13.231519,57.048622,"Carex nigra"
12.883566,55.41124,"Carex nigra"
16.933701,59.199463,"Carex nigra"
13.665981,56.37238,"Carex nigra"
11.940209,57.845114,"Carex nigra"
16.730071,59.645133,"Carex nigra"
16.217133,59.722418,"Carex nigra"
12.829784,58.027682,"Carex nigra"
16.307234,58.923641,"Carex nigra"
16.04489,60.779746,"Carex nigra"
16.222775,59.480207,"Carex nigra"
13.957529,63.364031,"Carex nigra"
16.179593,59.843532,"Carex nigra"
15.150509,60.76811,"Carex nigra"
18.253955,59.25396,"Carex nigra"
17.311757,59.06964,"Carex nigra"
14.981572,63.329964,"Carex nigra"
13.087843,56.54927,"Carex nigra"
15.708291,58.285468,"Carex nigra"
15.398507,59.350531,"Carex nigra"
17.051542,58.705399,"Carex nigra"
17.830139,60.050304,"Carex nigra"
17.070236,64.902141,"Carex nigra"
17.577039,59.86036,"Carex nigra"
11.747089,57.790628,"Carex nigra"
18.051574,59.795024,"Carex nigra"
17.07223,58.711078,"Carex nigra"
13.407922,56.306771,"Carex nigra"
14.551288,56.908315,"Carex nigra"
16.574366,60.172774,"Carex nigra"
16.491658,59.639672,"Carex nigra"
15.930463,60.111844,"Carex nigra"
15.967312,58.774903,"Carex nigra"
17.163239,59.979989,"Carex nigra"
15.547241,57.924352,"Carex nigra"
