"lon","lat","species.name"
18.714284,68.368049,"Diapensia lapponica"
20.49182,67.102095,"Diapensia lapponica"
20.588749,67.113561,"Diapensia lapponica"
20.5852,67.078918,"Diapensia lapponica"
18.879596,68.286223,"Diapensia lapponica"
18.681005,68.367408,"Diapensia lapponica"
18.765447,68.486368,"Diapensia lapponica"
14.793187,65.704034,"Diapensia lapponica"
18.697885,68.372643,"Diapensia lapponica"
16.455654,67.35523,"Diapensia lapponica"
15.703962,66.558689,"Diapensia lapponica"
17.753674,67.814493,"Diapensia lapponica"
18.667576,68.408415,"Diapensia lapponica"
18.219505,68.403681,"Diapensia lapponica"
15.833058,66.336231,"Diapensia lapponica"
18.123107,68.462396,"Diapensia lapponica"
18.303461,68.391454,"Diapensia lapponica"
18.768061,68.353352,"Diapensia lapponica"
15.211316,65.893226,"Diapensia lapponica"
15.937308,66.754819,"Diapensia lapponica"
15.209169,65.891102,"Diapensia lapponica"
18.848083,68.329809,"Diapensia lapponica"
18.644956,68.410194,"Diapensia lapponica"
15.675108,65.278346,"Diapensia lapponica"
14.363729,65.047472,"Diapensia lapponica"
16.023501,66.333382,"Diapensia lapponica"
18.687761,68.369279,"Diapensia lapponica"
12.531265,63.174285,"Diapensia lapponica"
12.484965,62.884464,"Diapensia lapponica"
16.281722,66.097559,"Diapensia lapponica"
18.685533,68.360151,"Diapensia lapponica"
15.56086,66.38719,"Diapensia lapponica"
14.539422,65.658765,"Diapensia lapponica"
15.207346,65.890628,"Diapensia lapponica"
16.595656,67.277446,"Diapensia lapponica"
18.70049,68.371444,"Diapensia lapponica"
15.202217,65.890889,"Diapensia lapponica"
15.792733,66.33486,"Diapensia lapponica"
15.621523,66.560866,"Diapensia lapponica"
15.715586,66.079379,"Diapensia lapponica"
16.298592,66.099812,"Diapensia lapponica"
15.206978,65.891707,"Diapensia lapponica"
12.699304,62.880438,"Diapensia lapponica"
12.491604,62.878133,"Diapensia lapponica"
15.209834,65.891854,"Diapensia lapponica"
15.807016,66.335217,"Diapensia lapponica"
12.094513,63.334012,"Diapensia lapponica"
18.663856,68.409658,"Diapensia lapponica"
18.727403,68.3645,"Diapensia lapponica"
12.490257,62.878092,"Diapensia lapponica"
12.483744,62.878784,"Diapensia lapponica"
18.41973,68.529134,"Diapensia lapponica"
15.585231,66.385272,"Diapensia lapponica"
16.452851,67.276836,"Diapensia lapponica"
16.147595,66.536974,"Diapensia lapponica"
12.547461,62.753495,"Diapensia lapponica"
16.518096,67.283501,"Diapensia lapponica"
16.440445,67.26567,"Diapensia lapponica"
16.984294,67.246968,"Diapensia lapponica"
17.929942,67.36811,"Diapensia lapponica"
16.613443,66.659954,"Diapensia lapponica"
17.435294,67.610219,"Diapensia lapponica"
12.329988,63.17833,"Diapensia lapponica"
20.398979,68.985694,"Diapensia lapponica"
12.461457,62.717764,"Diapensia lapponica"
14.988992,64.78937,"Diapensia lapponica"
18.641632,67.896049,"Diapensia lapponica"
20.583943,67.112387,"Diapensia lapponica"
17.653288,66.123789,"Diapensia lapponica"
16.249841,66.206276,"Diapensia lapponica"
16.368391,66.434107,"Diapensia lapponica"
17.639076,66.244301,"Diapensia lapponica"
14.537266,66.102552,"Diapensia lapponica"
18.258465,68.431326,"Diapensia lapponica"
14.784159,66.026827,"Diapensia lapponica"
15.369671,65.104412,"Diapensia lapponica"
18.631275,67.875762,"Diapensia lapponica"
16.381049,66.425209,"Diapensia lapponica"
12.446922,62.726039,"Diapensia lapponica"
16.312885,66.046234,"Diapensia lapponica"
18.708233,68.363155,"Diapensia lapponica"
18.715168,68.363102,"Diapensia lapponica"
16.662572,67.527292,"Diapensia lapponica"
19.162554,68.310832,"Diapensia lapponica"
18.414817,67.373053,"Diapensia lapponica"
12.362363,63.212836,"Diapensia lapponica"
14.639135,65.681666,"Diapensia lapponica"
12.326566,63.179315,"Diapensia lapponica"
18.602636,68.47878,"Diapensia lapponica"
18.749116,68.355681,"Diapensia lapponica"
13.143502,63.267972,"Diapensia lapponica"
20.587545,67.113337,"Diapensia lapponica"
18.631876,67.868044,"Diapensia lapponica"
18.745675,68.500328,"Diapensia lapponica"
18.269855,67.172182,"Diapensia lapponica"
18.61214,67.907559,"Diapensia lapponica"
16.138432,66.218588,"Diapensia lapponica"
16.23465,66.199672,"Diapensia lapponica"
15.197069,65.763989,"Diapensia lapponica"
16.692081,66.212414,"Diapensia lapponica"
15.161918,65.775226,"Diapensia lapponica"
14.733296,65.860448,"Diapensia lapponica"
12.278308,63.026843,"Diapensia lapponica"
12.382297,63.247248,"Diapensia lapponica"
14.713147,65.880308,"Diapensia lapponica"
18.796942,68.364351,"Diapensia lapponica"
12.31336,62.786539,"Diapensia lapponica"
12.971188,63.16139,"Diapensia lapponica"
18.478714,68.128633,"Diapensia lapponica"
17.745985,66.210624,"Diapensia lapponica"
18.64731,68.41382,"Diapensia lapponica"
18.723568,68.363407,"Diapensia lapponica"
14.592314,64.709607,"Diapensia lapponica"
18.446985,68.411027,"Diapensia lapponica"
16.178137,66.487728,"Diapensia lapponica"
15.851483,66.76351,"Diapensia lapponica"
18.912052,68.292666,"Diapensia lapponica"
18.157216,68.21775,"Diapensia lapponica"
16.04374,66.830438,"Diapensia lapponica"
16.19083,66.869777,"Diapensia lapponica"
18.26125,68.125992,"Diapensia lapponica"
16.16769,66.450292,"Diapensia lapponica"
16.13889,66.647865,"Diapensia lapponica"
16.069064,66.469637,"Diapensia lapponica"
13.607195,63.073227,"Diapensia lapponica"
16.063485,66.474686,"Diapensia lapponica"
18.220888,68.130711,"Diapensia lapponica"
16.146939,66.883013,"Diapensia lapponica"
15.97227,66.75585,"Diapensia lapponica"
18.268382,68.136024,"Diapensia lapponica"
18.888875,68.298042,"Diapensia lapponica"
12.366963,63.090231,"Diapensia lapponica"
18.555142,68.513553,"Diapensia lapponica"
18.359355,68.412587,"Diapensia lapponica"
12.076277,63.328206,"Diapensia lapponica"
12.100487,63.336205,"Diapensia lapponica"
20.607451,67.100327,"Diapensia lapponica"
16.260998,66.96663,"Diapensia lapponica"
16.284085,66.968232,"Diapensia lapponica"
17.634836,65.96812,"Diapensia lapponica"
12.688281,62.875799,"Diapensia lapponica"
16.461834,67.049487,"Diapensia lapponica"
18.047603,65.885718,"Diapensia lapponica"
16.252455,66.965139,"Diapensia lapponica"
12.452608,62.725648,"Diapensia lapponica"
12.695019,62.873628,"Diapensia lapponica"
16.26822,66.96593,"Diapensia lapponica"
18.157207,68.217746,"Diapensia lapponica"
18.809267,68.176574,"Diapensia lapponica"
12,63,"Diapensia lapponica"
12.358051,63.312629,"Diapensia lapponica"
18.68273,68.158036,"Diapensia lapponica"
15.902004,66.781717,"Diapensia lapponica"
18.207207,68.392023,"Diapensia lapponica"
18.168184,68.216059,"Diapensia lapponica"
17.918701,67.222649,"Diapensia lapponica"
18.618806,68.166494,"Diapensia lapponica"
18.334588,68.30835,"Diapensia lapponica"
16.359732,66.531533,"Diapensia lapponica"
16.921736,66.893965,"Diapensia lapponica"
15.469295,66.101439,"Diapensia lapponica"
14.678229,65.237764,"Diapensia lapponica"
16.948568,66.864402,"Diapensia lapponica"
16.029727,66.576633,"Diapensia lapponica"
16.622866,66.634259,"Diapensia lapponica"
16.416847,66.6097,"Diapensia lapponica"
16.616156,67.289959,"Diapensia lapponica"
16.738533,67.29178,"Diapensia lapponica"
18.72363,68.361863,"Diapensia lapponica"
16.595414,67.237096,"Diapensia lapponica"
16.886719,67.281856,"Diapensia lapponica"
14.640051,65.67948,"Diapensia lapponica"
16.700256,67.289657,"Diapensia lapponica"
15.689382,66.285493,"Diapensia lapponica"
16.512939,67.420313,"Diapensia lapponica"
16.550785,67.236463,"Diapensia lapponica"
16.451288,67.356174,"Diapensia lapponica"
16.837635,66.664143,"Diapensia lapponica"
16.709931,67.321086,"Diapensia lapponica"
16.612563,67.272106,"Diapensia lapponica"
20.190714,69.020074,"Diapensia lapponica"
16.177967,66.619601,"Diapensia lapponica"
16.776514,66.647698,"Diapensia lapponica"
16.528094,67.424048,"Diapensia lapponica"
16.828482,66.645102,"Diapensia lapponica"
16.646555,67.2828,"Diapensia lapponica"
16.701621,67.334763,"Diapensia lapponica"
18.777395,68.359856,"Diapensia lapponica"
16.716974,67.322302,"Diapensia lapponica"
15.180307,66.177621,"Diapensia lapponica"
17.026174,66.698749,"Diapensia lapponica"
16.922149,66.863022,"Diapensia lapponica"
16.702125,67.319229,"Diapensia lapponica"
16.056487,66.557968,"Diapensia lapponica"
16.038045,66.729407,"Diapensia lapponica"
17.036738,66.690774,"Diapensia lapponica"
17.056411,66.700899,"Diapensia lapponica"
17.054902,66.689512,"Diapensia lapponica"
16.691794,67.317359,"Diapensia lapponica"
16.724546,66.204163,"Diapensia lapponica"
16.079646,66.581746,"Diapensia lapponica"
16.959213,66.874942,"Diapensia lapponica"
14.705547,65.093175,"Diapensia lapponica"
16.002238,66.562959,"Diapensia lapponica"
17.940874,66.114526,"Diapensia lapponica"
16.71232,67.323261,"Diapensia lapponica"
12.040329,62.908981,"Diapensia lapponica"
15.257122,64.937911,"Diapensia lapponica"
16.288064,66.325523,"Diapensia lapponica"
16.071471,66.23922,"Diapensia lapponica"
15.126048,65.168056,"Diapensia lapponica"
16.072307,66.267769,"Diapensia lapponica"
16.061841,66.23909,"Diapensia lapponica"
15.101578,65.148156,"Diapensia lapponica"
12.49049,62.91999,"Diapensia lapponica"
17.416806,66.751309,"Diapensia lapponica"
17.294932,66.709553,"Diapensia lapponica"
18.733799,68.490216,"Diapensia lapponica"
16.529154,66.25471,"Diapensia lapponica"
20.374195,68.974023,"Diapensia lapponica"
18.723397,68.361982,"Diapensia lapponica"
14.583726,65.660042,"Diapensia lapponica"
18.109264,68.428343,"Diapensia lapponica"
14.69395,65.868834,"Diapensia lapponica"
14.693698,65.859915,"Diapensia lapponica"
18.725598,68.382702,"Diapensia lapponica"
15.100878,65.840705,"Diapensia lapponica"
17.596748,66.515873,"Diapensia lapponica"
18.868654,68.316822,"Diapensia lapponica"
14.720118,65.858578,"Diapensia lapponica"
18.724026,68.361946,"Diapensia lapponica"
18.714629,68.356715,"Diapensia lapponica"
18.722948,68.361684,"Diapensia lapponica"
20.182126,69.019251,"Diapensia lapponica"
20.184354,69.022383,"Diapensia lapponica"
12.095582,63.335189,"Diapensia lapponica"
20.252671,69.023197,"Diapensia lapponica"
16.538604,66.57148,"Diapensia lapponica"
20.239573,69.003304,"Diapensia lapponica"
20.254476,69.022576,"Diapensia lapponica"
16.394227,66.590281,"Diapensia lapponica"
15.572942,66.36454,"Diapensia lapponica"
18.808476,68.352398,"Diapensia lapponica"
16.664889,66.804694,"Diapensia lapponica"
18.722903,68.361903,"Diapensia lapponica"
18.724187,68.367226,"Diapensia lapponica"
13.157606,63.587452,"Diapensia lapponica"
17.955059,66.207392,"Diapensia lapponica"
12.740419,62.740764,"Diapensia lapponica"
18.828904,68.35307,"Diapensia lapponica"
12.7565,62.752525,"Diapensia lapponica"
16.066495,66.675136,"Diapensia lapponica"
20.7406,68.076507,"Diapensia lapponica"
18.900706,68.458194,"Diapensia lapponica"
17.623455,65.967095,"Diapensia lapponica"
18.796349,68.161695,"Diapensia lapponica"
13.947036,63.855276,"Diapensia lapponica"
20.176009,69.040151,"Diapensia lapponica"
17.653342,66.967768,"Diapensia lapponica"
17.220003,67.275073,"Diapensia lapponica"
17.226453,67.274334,"Diapensia lapponica"
13.952947,63.856028,"Diapensia lapponica"
14.308986,65.014747,"Diapensia lapponica"
13.946938,63.855233,"Diapensia lapponica"
18.697112,68.372143,"Diapensia lapponica"
13.082938,63.42617,"Diapensia lapponica"
16.407235,66.198338,"Diapensia lapponica"
19.270094,67.564114,"Diapensia lapponica"
19.497179,67.366091,"Diapensia lapponica"
17.628818,67.211807,"Diapensia lapponica"
16.085171,66.878541,"Diapensia lapponica"
17.243108,67.240599,"Diapensia lapponica"
16.104107,66.662983,"Diapensia lapponica"
17.212835,67.242608,"Diapensia lapponica"
17.731226,67.189594,"Diapensia lapponica"
12.710488,62.917012,"Diapensia lapponica"
18.136662,68.333763,"Diapensia lapponica"
15.935296,66.408806,"Diapensia lapponica"
15.084906,65.135781,"Diapensia lapponica"
14.494991,65.126903,"Diapensia lapponica"
12.278263,62.565051,"Diapensia lapponica"
18.10611,68.425417,"Diapensia lapponica"
18.715977,68.366116,"Diapensia lapponica"
17.987102,67.310059,"Diapensia lapponica"
18.964702,67.86606,"Diapensia lapponica"
18.713893,68.368845,"Diapensia lapponica"
17.935871,66.119076,"Diapensia lapponica"
18.518329,68.41951,"Diapensia lapponica"
18.514035,68.421053,"Diapensia lapponica"
18.77072,68.355101,"Diapensia lapponica"
18.920622,68.274644,"Diapensia lapponica"
16.093103,66.663801,"Diapensia lapponica"
18.915484,68.279588,"Diapensia lapponica"
18.719848,68.481627,"Diapensia lapponica"
18.709895,68.368921,"Diapensia lapponica"
16.940753,67.786172,"Diapensia lapponica"
15.328403,65.100751,"Diapensia lapponica"
17.104552,67.731589,"Diapensia lapponica"
12.503839,62.917941,"Diapensia lapponica"
13.877264,64.743384,"Diapensia lapponica"
12.699034,62.878235,"Diapensia lapponica"
16.647139,67.412641,"Diapensia lapponica"
16.282584,66.10677,"Diapensia lapponica"
16.449725,67.355856,"Diapensia lapponica"
16.716534,67.317373,"Diapensia lapponica"
16.659275,67.307734,"Diapensia lapponica"
16.725139,67.317771,"Diapensia lapponica"
16.657299,67.409162,"Diapensia lapponica"
13.293458,63.056157,"Diapensia lapponica"
18.12723,67.164109,"Diapensia lapponica"
16.706176,67.320033,"Diapensia lapponica"
16.721726,67.301339,"Diapensia lapponica"
16.729164,67.295601,"Diapensia lapponica"
16.59403,67.272557,"Diapensia lapponica"
16.554693,67.600027,"Diapensia lapponica"
16.709006,67.321183,"Diapensia lapponica"
16.589386,67.272356,"Diapensia lapponica"
16.700121,67.319707,"Diapensia lapponica"
13.312826,63.060988,"Diapensia lapponica"
16.47159,67.355787,"Diapensia lapponica"
16.799035,67.598367,"Diapensia lapponica"
16.44597,67.558878,"Diapensia lapponica"
21.876133,68.154597,"Diapensia lapponica"
18.323709,67.474718,"Diapensia lapponica"
17.011837,67.769148,"Diapensia lapponica"
18.716085,68.365036,"Diapensia lapponica"
16.634571,67.593998,"Diapensia lapponica"
12.747202,63.038185,"Diapensia lapponica"
12.397559,62.685896,"Diapensia lapponica"
18.443706,67.394281,"Diapensia lapponica"
16.986917,67.580698,"Diapensia lapponica"
16.261411,66.326158,"Diapensia lapponica"
16.993098,67.582178,"Diapensia lapponica"
14.674016,65.872847,"Diapensia lapponica"
13.982376,64.821706,"Diapensia lapponica"
14.141971,64.860183,"Diapensia lapponica"
14.62469,65.682321,"Diapensia lapponica"
18.750562,68.328983,"Diapensia lapponica"
12.458896,62.914043,"Diapensia lapponica"
18.108491,68.429205,"Diapensia lapponica"
16.993969,67.77716,"Diapensia lapponica"
19.480272,68.23614,"Diapensia lapponica"
18.722445,68.364188,"Diapensia lapponica"
18.718977,68.361979,"Diapensia lapponica"
16.841911,67.793965,"Diapensia lapponica"
19.648015,68.206893,"Diapensia lapponica"
18.639458,67.281173,"Diapensia lapponica"
18.715042,68.360704,"Diapensia lapponica"
15.977418,66.769209,"Diapensia lapponica"
12.414672,63.165754,"Diapensia lapponica"
12.350721,63.225881,"Diapensia lapponica"
15.87271,66.762649,"Diapensia lapponica"
18.283366,68.406326,"Diapensia lapponica"
13.274935,63.155468,"Diapensia lapponica"
16.149427,66.612267,"Diapensia lapponica"
18.511951,68.415039,"Diapensia lapponica"
13.110786,63.077124,"Diapensia lapponica"
18.484086,68.357924,"Diapensia lapponica"
18.697687,68.372537,"Diapensia lapponica"
12.73458,62.835466,"Diapensia lapponica"
13.139747,63.267633,"Diapensia lapponica"
15.082633,65.136272,"Diapensia lapponica"
18.676235,68.376222,"Diapensia lapponica"
18.579343,67.617465,"Diapensia lapponica"
18.721762,68.361886,"Diapensia lapponica"
18.620091,67.642881,"Diapensia lapponica"
15.08743,65.142432,"Diapensia lapponica"
18.715105,68.362721,"Diapensia lapponica"
15.269788,64.941975,"Diapensia lapponica"
18.660209,67.624271,"Diapensia lapponica"
16.241352,66.352886,"Diapensia lapponica"
16.214276,66.319423,"Diapensia lapponica"
16.218723,66.338808,"Diapensia lapponica"
