"lon","lat","species.name"
11.969539,58.349407,"Equisetum arvense"
13.072733,58.514188,"Equisetum arvense"
11.828611,58.334886,"Equisetum arvense"
13.227073,55.691244,"Equisetum arvense"
12.176322,57.748549,"Equisetum arvense"
16.436071,56.604145,"Equisetum arvense"
14.147801,55.764048,"Equisetum arvense"
11.760807,57.648851,"Equisetum arvense"
15.848914,57.491371,"Equisetum arvense"
13.080971,55.61595,"Equisetum arvense"
14.126816,56.145163,"Equisetum arvense"
16.822086,56.873539,"Equisetum arvense"
12.478749,57.889884,"Equisetum arvense"
11.773527,58.334805,"Equisetum arvense"
14.820693,58.331693,"Equisetum arvense"
14.183904,57.769688,"Equisetum arvense"
11.890622,58.294198,"Equisetum arvense"
11.294554,58.488956,"Equisetum arvense"
11.841799,58.262085,"Equisetum arvense"
17.601608,59.801572,"Equisetum arvense"
16.386519,56.527338,"Equisetum arvense"
13.891718,56.059422,"Equisetum arvense"
13.009582,55.474027,"Equisetum arvense"
14.513649,56.039329,"Equisetum arvense"
11.909244,58.38025,"Equisetum arvense"
12.178478,57.752508,"Equisetum arvense"
18.208797,59.212304,"Equisetum arvense"
17.621137,59.841212,"Equisetum arvense"
14.151574,57.76449,"Equisetum arvense"
11.926959,58.331221,"Equisetum arvense"
14.168956,57.768807,"Equisetum arvense"
16.731922,60.622707,"Equisetum arvense"
11.899488,58.293197,"Equisetum arvense"
11.940622,57.764221,"Equisetum arvense"
17.589373,59.522698,"Equisetum arvense"
16.255886,58.723663,"Equisetum arvense"
18.303946,59.219108,"Equisetum arvense"
16.527573,56.375937,"Equisetum arvense"
11.927211,57.727786,"Equisetum arvense"
17.466543,59.145729,"Equisetum arvense"
16.515616,59.653576,"Equisetum arvense"
16.516425,59.654525,"Equisetum arvense"
18.294146,57.629536,"Equisetum arvense"
12.984932,55.402534,"Equisetum arvense"
15.636004,58.422075,"Equisetum arvense"
15.461731,58.385308,"Equisetum arvense"
11.873357,57.805937,"Equisetum arvense"
16.512068,56.696716,"Equisetum arvense"
15.458362,58.392319,"Equisetum arvense"
16.543832,56.332018,"Equisetum arvense"
17.372061,59.65034,"Equisetum arvense"
12.850984,55.96263,"Equisetum arvense"
17.660232,59.7913,"Equisetum arvense"
11.923482,57.74376,"Equisetum arvense"
17.601401,59.832663,"Equisetum arvense"
17.703764,59.620865,"Equisetum arvense"
16.984393,58.778083,"Equisetum arvense"
17.04025,58.757915,"Equisetum arvense"
11.956639,57.681447,"Equisetum arvense"
11.970419,57.687296,"Equisetum arvense"
16.521967,59.703621,"Equisetum arvense"
15.266168,59.272013,"Equisetum arvense"
15.423804,58.394306,"Equisetum arvense"
13.080944,55.613576,"Equisetum arvense"
